C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
0.1,0.1,linear,linear,7,0.8581560283687943,0.425
0.1,0.1,linear,linear,12,0.6950354609929078,0.30952380952380953
0.1,0.1,linear,linear,17,0.7056737588652482,0.42657342657342656
0.1,0.1,linear,rbf,7,0.8475177304964538,0.16279069767441862
0.1,0.1,linear,rbf,12,0.7163120567375887,0.07777777777777778
0.1,0.1,linear,rbf,17,0.7163120567375887,0.10273972602739725
0.1,0.1,linear,sigmoid,7,0.851063829787234,0.09523809523809523
0.1,0.1,linear,sigmoid,12,0.7375886524822695,0.10588235294117647
0.1,0.1,linear,sigmoid,17,0.7056737588652482,0.045112781954887216
0.1,0.1,linear,poly,7,0.8652482269503546,0.23684210526315788
0.1,0.1,linear,poly,12,0.74822695035461,0.16417910447761194
0.1,0.1,linear,poly,17,0.7411347517730497,0.064
0.1,0.1,rbf,linear,7,0.8333333333333334,0.46808510638297873
0.1,0.1,rbf,linear,12,0.7092198581560284,0.3902439024390244
0.1,0.1,rbf,linear,17,0.574468085106383,0.4
0.1,0.1,rbf,rbf,7,0.8652482269503546,0.15789473684210525
0.1,0.1,rbf,rbf,12,0.74822695035461,0.11267605633802817
0.1,0.1,rbf,rbf,17,0.5425531914893617,0.05426356589147287
0.1,0.1,rbf,sigmoid,7,0.8297872340425532,0.14583333333333334
0.1,0.1,rbf,sigmoid,12,0.6879432624113475,0.022727272727272728
0.1,0.1,rbf,sigmoid,17,0.5354609929078015,0.06870229007633588
0.1,0.1,rbf,poly,7,0.8475177304964538,0.11627906976744186
0.1,0.1,rbf,poly,12,0.6808510638297872,0.03333333333333333
0.1,0.1,rbf,poly,17,0.5106382978723404,0.07246376811594203
0.1,0.1,sigmoid,linear,7,0.851063829787234,0.42857142857142855
0.1,0.1,sigmoid,linear,12,0.7127659574468085,0.4074074074074074
0.1,0.1,sigmoid,linear,17,0.7021276595744681,0.31343283582089554
0.1,0.1,sigmoid,rbf,7,0.8546099290780141,0.21951219512195122
0.1,0.1,sigmoid,rbf,12,0.7411347517730497,0.0273972602739726
0.1,0.1,sigmoid,rbf,17,0.6808510638297872,0.06153846153846154
0.1,0.1,sigmoid,sigmoid,7,0.8333333333333334,0.14893617021276595
0.1,0.1,sigmoid,sigmoid,12,0.7269503546099291,0.07792207792207792
0.1,0.1,sigmoid,sigmoid,17,0.7127659574468085,0.09285714285714286
0.1,0.1,sigmoid,poly,7,0.8333333333333334,0.10638297872340426
0.1,0.1,sigmoid,poly,12,0.7375886524822695,0.05405405405405406
0.1,0.1,sigmoid,poly,17,0.6879432624113475,0.05555555555555555
0.1,0.1,poly,linear,7,0.8475177304964538,0.3488372093023256
0.1,0.1,poly,linear,12,0.7021276595744681,0.38095238095238093
0.1,0.1,poly,linear,17,0.549645390070922,0.3700787401574803
0.1,0.1,poly,rbf,7,0.8262411347517731,0.12244897959183673
0.1,0.1,poly,rbf,12,0.7375886524822695,0.13513513513513514
0.1,0.1,poly,rbf,17,0.524822695035461,0.08208955223880597
0.1,0.1,poly,sigmoid,7,0.8900709219858156,0.0967741935483871
0.1,0.1,poly,sigmoid,12,0.6914893617021277,0.034482758620689655
0.1,0.1,poly,sigmoid,17,0.5390070921985816,0.07692307692307693
0.1,0.1,poly,poly,7,0.8085106382978723,0.07407407407407407
0.1,0.1,poly,poly,12,0.7127659574468085,0.09876543209876543
0.1,0.1,poly,poly,17,0.5460992907801419,0.0546875
0.1,1.0,linear,linear,7,0.8546099290780141,0.43902439024390244
0.1,1.0,linear,linear,12,0.6985815602836879,0.37777777777777777
0.1,1.0,linear,linear,17,0.6914893617021277,0.32116788321167883
0.1,1.0,linear,rbf,7,0.8333333333333334,0.574468085106383
0.1,1.0,linear,rbf,12,0.7446808510638298,0.4507042253521127
0.1,1.0,linear,rbf,17,0.7127659574468085,0.28169014084507044
0.1,1.0,linear,sigmoid,7,0.8652482269503546,0.39473684210526316
0.1,1.0,linear,sigmoid,12,0.7695035460992907,0.375
0.1,1.0,linear,sigmoid,17,0.6914893617021277,0.4661016949152542
0.1,1.0,linear,poly,7,0.8581560283687943,0.425
0.1,1.0,linear,poly,12,0.7269503546099291,0.14893617021276595
0.1,1.0,linear,poly,17,0.6560283687943262,0.24271844660194175
0.1,1.0,rbf,linear,7,0.8156028368794326,0.4807692307692308
0.1,1.0,rbf,linear,12,0.723404255319149,0.3333333333333333
0.1,1.0,rbf,linear,17,0.5283687943262412,0.3007518796992481
0.1,1.0,rbf,rbf,7,0.8333333333333334,0.3829787234042553
0.1,1.0,rbf,rbf,12,0.7127659574468085,0.3950617283950617
0.1,1.0,rbf,rbf,17,0.5390070921985816,0.27692307692307694
0.1,1.0,rbf,sigmoid,7,0.875886524822695,0.3142857142857143
0.1,1.0,rbf,sigmoid,12,0.6914893617021277,0.3563218390804598
0.1,1.0,rbf,sigmoid,17,0.574468085106383,0.4
0.1,1.0,rbf,poly,7,0.851063829787234,0.3333333333333333
0.1,1.0,rbf,poly,12,0.7056737588652482,0.14457831325301204
0.1,1.0,rbf,poly,17,0.5212765957446809,0.13333333333333333
0.1,1.0,sigmoid,linear,7,0.8297872340425532,0.3958333333333333
0.1,1.0,sigmoid,linear,12,0.7375886524822695,0.40540540540540543
0.1,1.0,sigmoid,linear,17,0.7446808510638298,0.421875
0.1,1.0,sigmoid,rbf,7,0.8297872340425532,0.4583333333333333
0.1,1.0,sigmoid,rbf,12,0.7163120567375887,0.2625
0.1,1.0,sigmoid,rbf,17,0.7446808510638298,0.3225806451612903
0.1,1.0,sigmoid,sigmoid,7,0.8546099290780141,0.5121951219512195
0.1,1.0,sigmoid,sigmoid,12,0.6808510638297872,0.4777777777777778
0.1,1.0,sigmoid,sigmoid,17,0.6382978723404256,0.4015748031496063
0.1,1.0,sigmoid,poly,7,0.8865248226950354,0.3125
0.1,1.0,sigmoid,poly,12,0.723404255319149,0.24358974358974358
0.1,1.0,sigmoid,poly,17,0.723404255319149,0.06015037593984962
0.1,1.0,poly,linear,7,0.8404255319148937,0.4
0.1,1.0,poly,linear,12,0.7163120567375887,0.4
0.1,1.0,poly,linear,17,0.5177304964539007,0.3088235294117647
0.1,1.0,poly,rbf,7,0.8581560283687943,0.375
0.1,1.0,poly,rbf,12,0.7056737588652482,0.4457831325301205
0.1,1.0,poly,rbf,17,0.5212765957446809,0.3111111111111111
0.1,1.0,poly,sigmoid,7,0.8617021276595744,0.48717948717948717
0.1,1.0,poly,sigmoid,12,0.7624113475177305,0.44776119402985076
0.1,1.0,poly,sigmoid,17,0.5035460992907801,0.35714285714285715
0.1,1.0,poly,poly,7,0.875886524822695,0.2857142857142857
0.1,1.0,poly,poly,12,0.6808510638297872,0.17777777777777778
0.1,1.0,poly,poly,17,0.5709219858156028,0.10743801652892562
0.1,2.0,linear,linear,7,0.8581560283687943,0.4
0.1,2.0,linear,linear,12,0.7872340425531915,0.30666666666666664
0.1,2.0,linear,linear,17,0.6950354609929078,0.35714285714285715
0.1,2.0,linear,rbf,7,0.7907801418439716,0.5084745762711864
0.1,2.0,linear,rbf,12,0.7588652482269503,0.4594594594594595
0.1,2.0,linear,rbf,17,0.6914893617021277,0.4140625
0.1,2.0,linear,sigmoid,7,0.875886524822695,0.5714285714285714
0.1,2.0,linear,sigmoid,12,0.7198581560283688,0.37777777777777777
0.1,2.0,linear,sigmoid,17,0.6843971631205674,0.39814814814814814
0.1,2.0,linear,poly,7,0.8581560283687943,0.325
0.1,2.0,linear,poly,12,0.7092198581560284,0.38095238095238093
0.1,2.0,linear,poly,17,0.74822695035461,0.20909090909090908
0.1,2.0,rbf,linear,7,0.8404255319148937,0.4222222222222222
0.1,2.0,rbf,linear,12,0.7588652482269503,0.3382352941176471
0.1,2.0,rbf,linear,17,0.5531914893617021,0.38095238095238093
0.1,2.0,rbf,rbf,7,0.8936170212765957,0.5
0.1,2.0,rbf,rbf,12,0.7269503546099291,0.3246753246753247
0.1,2.0,rbf,rbf,17,0.5177304964539007,0.47058823529411764
0.1,2.0,rbf,sigmoid,7,0.8723404255319149,0.5
0.1,2.0,rbf,sigmoid,12,0.7446808510638298,0.4444444444444444
0.1,2.0,rbf,sigmoid,17,0.5354609929078015,0.3643410852713178
0.1,2.0,rbf,poly,7,0.8794326241134752,0.38235294117647056
0.1,2.0,rbf,poly,12,0.7304964539007093,0.23684210526315788
0.1,2.0,rbf,poly,17,0.5177304964539007,0.15328467153284672
0.1,2.0,sigmoid,linear,7,0.8794326241134752,0.29411764705882354
0.1,2.0,sigmoid,linear,12,0.6950354609929078,0.29069767441860467
0.1,2.0,sigmoid,linear,17,0.7198581560283688,0.45185185185185184
0.1,2.0,sigmoid,rbf,7,0.8581560283687943,0.4
0.1,2.0,sigmoid,rbf,12,0.7588652482269503,0.5294117647058824
0.1,2.0,sigmoid,rbf,17,0.6773049645390071,0.34959349593495936
0.1,2.0,sigmoid,sigmoid,7,0.8617021276595744,0.5384615384615384
0.1,2.0,sigmoid,sigmoid,12,0.7092198581560284,0.4024390243902439
0.1,2.0,sigmoid,sigmoid,17,0.6950354609929078,0.36764705882352944
0.1,2.0,sigmoid,poly,7,0.8723404255319149,0.3333333333333333
0.1,2.0,sigmoid,poly,12,0.7269503546099291,0.2597402597402597
0.1,2.0,sigmoid,poly,17,0.7127659574468085,0.2125984251968504
0.1,2.0,poly,linear,7,0.8156028368794326,0.4423076923076923
0.1,2.0,poly,linear,12,0.7056737588652482,0.3614457831325301
0.1,2.0,poly,linear,17,0.5177304964539007,0.34558823529411764
0.1,2.0,poly,rbf,7,0.8687943262411347,0.35135135135135137
0.1,2.0,poly,rbf,12,0.6879432624113475,0.5
0.1,2.0,poly,rbf,17,0.5354609929078015,0.4122137404580153
0.1,2.0,poly,sigmoid,7,0.8617021276595744,0.3333333333333333
0.1,2.0,poly,sigmoid,12,0.723404255319149,0.41025641025641024
0.1,2.0,poly,sigmoid,17,0.5673758865248227,0.36885245901639346
0.1,2.0,poly,poly,7,0.8475177304964538,0.3488372093023256
0.1,2.0,poly,poly,12,0.7269503546099291,0.19480519480519481
0.1,2.0,poly,poly,17,0.549645390070922,0.1732283464566929
1.0,0.1,linear,linear,7,0.8546099290780141,0.42105263157894735
1.0,0.1,linear,linear,12,0.7269503546099291,0.38461538461538464
1.0,0.1,linear,linear,17,0.6985815602836879,0.4097222222222222
1.0,0.1,linear,rbf,7,0.8120567375886525,0.11538461538461539
1.0,0.1,linear,rbf,12,0.7446808510638298,0.1282051282051282
1.0,0.1,linear,rbf,17,0.6702127659574468,0.047619047619047616
1.0,0.1,linear,sigmoid,7,0.8156028368794326,0.15384615384615385
1.0,0.1,linear,sigmoid,12,0.723404255319149,0.02247191011235955
1.0,0.1,linear,sigmoid,17,0.6631205673758865,0.023255813953488372
1.0,0.1,linear,poly,7,0.8794326241134752,0.15789473684210525
1.0,0.1,linear,poly,12,0.7411347517730497,0.0759493670886076
1.0,0.1,linear,poly,17,0.6914893617021277,0.05426356589147287
1.0,0.1,rbf,linear,7,0.8581560283687943,0.425
1.0,0.1,rbf,linear,12,0.7056737588652482,0.4838709677419355
1.0,0.1,rbf,linear,17,0.7092198581560284,0.4642857142857143
1.0,0.1,rbf,rbf,7,0.8652482269503546,0.21052631578947367
1.0,0.1,rbf,rbf,12,0.7446808510638298,0.12345679012345678
1.0,0.1,rbf,rbf,17,0.6879432624113475,0.020134228187919462
1.0,0.1,rbf,sigmoid,7,0.8617021276595744,0.1794871794871795
1.0,0.1,rbf,sigmoid,12,0.7695035460992907,0.0625
1.0,0.1,rbf,sigmoid,17,0.7588652482269503,0.03636363636363636
1.0,0.1,rbf,poly,7,0.8226950354609929,0.1836734693877551
1.0,0.1,rbf,poly,12,0.7553191489361702,0.06493506493506493
1.0,0.1,rbf,poly,17,0.74822695035461,0.048
1.0,0.1,sigmoid,linear,7,0.8368794326241135,0.6739130434782609
1.0,0.1,sigmoid,linear,12,0.75177304964539,0.375
1.0,0.1,sigmoid,linear,17,0.74822695035461,0.45652173913043476
1.0,0.1,sigmoid,rbf,7,0.8546099290780141,0.14634146341463414
1.0,0.1,sigmoid,rbf,12,0.723404255319149,0.045454545454545456
1.0,0.1,sigmoid,rbf,17,0.6985815602836879,0.08088235294117647
1.0,0.1,sigmoid,sigmoid,7,0.851063829787234,0.16666666666666666
1.0,0.1,sigmoid,sigmoid,12,0.7269503546099291,0.10588235294117647
1.0,0.1,sigmoid,sigmoid,17,0.7375886524822695,0.06569343065693431
1.0,0.1,sigmoid,poly,7,0.8368794326241135,0.10869565217391304
1.0,0.1,sigmoid,poly,12,0.7659574468085106,0.02631578947368421
1.0,0.1,sigmoid,poly,17,0.6808510638297872,0.043795620437956206
1.0,0.1,poly,linear,7,0.8865248226950354,0.5151515151515151
1.0,0.1,poly,linear,12,0.7092198581560284,0.4431818181818182
1.0,0.1,poly,linear,17,0.7021276595744681,0.359375
1.0,0.1,poly,rbf,7,0.8049645390070922,0.10909090909090909
1.0,0.1,poly,rbf,12,0.7092198581560284,0.07058823529411765
1.0,0.1,poly,rbf,17,0.7446808510638298,0.07627118644067797
1.0,0.1,poly,sigmoid,7,0.8936170212765957,0.06896551724137931
1.0,0.1,poly,sigmoid,12,0.7624113475177305,0.136986301369863
1.0,0.1,poly,sigmoid,17,0.6099290780141844,0.06716417910447761
1.0,0.1,poly,poly,7,0.8546099290780141,0.11363636363636363
1.0,0.1,poly,poly,12,0.6985815602836879,0.10112359550561797
1.0,0.1,poly,poly,17,0.6773049645390071,0.051470588235294115
1.0,1.0,linear,linear,7,0.8829787234042553,0.3142857142857143
1.0,1.0,linear,linear,12,0.7269503546099291,0.36507936507936506
1.0,1.0,linear,linear,17,0.6843971631205674,0.37012987012987014
1.0,1.0,linear,rbf,7,0.8794326241134752,0.22857142857142856
1.0,1.0,linear,rbf,12,0.7127659574468085,0.4166666666666667
1.0,1.0,linear,rbf,17,0.6808510638297872,0.32
1.0,1.0,linear,sigmoid,7,0.8687943262411347,0.47368421052631576
1.0,1.0,linear,sigmoid,12,0.7624113475177305,0.3977272727272727
1.0,1.0,linear,sigmoid,17,0.6595744680851063,0.3969465648854962
1.0,1.0,linear,poly,7,0.8617021276595744,0.38235294117647056
1.0,1.0,linear,poly,12,0.7340425531914894,0.13793103448275862
1.0,1.0,linear,poly,17,0.624113475177305,0.2054794520547945
1.0,1.0,rbf,linear,7,0.8794326241134752,0.3888888888888889
1.0,1.0,rbf,linear,12,0.7198581560283688,0.367816091954023
1.0,1.0,rbf,linear,17,0.7695035460992907,0.390625
1.0,1.0,rbf,rbf,7,0.8156028368794326,0.46153846153846156
1.0,1.0,rbf,rbf,12,0.7801418439716312,0.3472222222222222
1.0,1.0,rbf,rbf,17,0.7375886524822695,0.28346456692913385
1.0,1.0,rbf,sigmoid,7,0.8581560283687943,0.425
1.0,1.0,rbf,sigmoid,12,0.7056737588652482,0.425531914893617
1.0,1.0,rbf,sigmoid,17,0.74822695035461,0.34532374100719426
1.0,1.0,rbf,poly,7,0.8900709219858156,0.41935483870967744
1.0,1.0,rbf,poly,12,0.7269503546099291,0.13953488372093023
