,C,Kernel,p,q,Accuracy,False negative rate,False positive rate,sum
150,1.0,sigmoid,5,6,0.7978723404255319,0.1924715909090909,0.23082386363636365,0.4232954545454546
1,0.1,linear,3,4,0.8262411347517731,0.1377840909090909,0.28551136363636365,0.4232954545454546
140,1.0,rbf,13,2,0.8723404255319149,0.0859375,0.3380681818181818,0.4240056818181818
76,0.1,poly,5,2,0.8049645390070922,0.2762784090909091,0.14772727272727273,0.4240056818181819
18,0.1,linear,11,6,0.8439716312056738,0.13423295454545456,0.2897727272727273,0.4240056818181819
61,0.1,sigmoid,9,4,0.8971631205673759,0.18039772727272727,0.24431818181818182,0.42471590909090906
202,2.0,linear,7,6,0.7872340425531915,0.140625,0.2840909090909091,0.4247159090909091
332,5.0,rbf,13,2,0.8652482269503546,0.09161931818181818,0.3338068181818182,0.42542613636363635
288,5.0,linear,3,2,0.8014184397163121,0.1278409090909091,0.2975852272727273,0.42542613636363635
304,5.0,linear,11,2,0.7907801418439716,0.13210227272727273,0.29332386363636365,0.42542613636363635
195,2.0,linear,3,8,0.8120567375886525,0.1612215909090909,0.2649147727272727,0.42613636363636365
294,5.0,linear,5,6,0.7730496453900709,0.1534090909090909,0.2727272727272727,0.42613636363636365
296,5.0,linear,7,2,0.8014184397163121,0.13352272727272727,0.2940340909090909,0.4275568181818181
146,1.0,sigmoid,3,6,0.8226950354609929,0.1534090909090909,0.27485795454545453,0.4282670454545454
212,2.0,linear,13,2,0.8156028368794326,0.109375,0.31889204545454547,0.42826704545454547
154,1.0,sigmoid,7,6,0.8262411347517731,0.15838068181818182,0.2705965909090909,0.4289772727272727
193,2.0,linear,3,4,0.8191489361702128,0.1512784090909091,0.27769886363636365,0.4289772727272727
58,0.1,sigmoid,7,6,0.8439716312056738,0.21519886363636365,0.21448863636363635,0.4296875
163,1.0,sigmoid,11,8,0.8404255319148937,0.14417613636363635,0.28551136363636365,0.4296875
155,1.0,sigmoid,7,8,0.8262411347517731,0.1484375,0.28267045454545453,0.43110795454545453
162,1.0,sigmoid,11,6,0.8191489361702128,0.12357954545454546,0.3075284090909091,0.4311079545454546
147,1.0,sigmoid,3,8,0.8014184397163121,0.17258522727272727,0.2585227272727273,0.4311079545454546
240,2.0,sigmoid,3,2,0.8333333333333334,0.18039772727272727,0.2507102272727273,0.4311079545454546
156,1.0,sigmoid,9,2,0.8191489361702128,0.1690340909090909,0.2627840909090909,0.43181818181818177
144,1.0,sigmoid,3,2,0.851063829787234,0.17613636363636365,0.2556818181818182,0.4318181818181818
159,1.0,sigmoid,9,8,0.851063829787234,0.15980113636363635,0.27201704545454547,0.4318181818181818
106,1.0,linear,7,6,0.7730496453900709,0.12642045454545456,0.3053977272727273,0.4318181818181819
145,1.0,sigmoid,3,4,0.8439716312056738,0.13849431818181818,0.2940340909090909,0.43252840909090906
53,0.1,sigmoid,5,4,0.7978723404255319,0.25923295454545453,0.17400568181818182,0.43323863636363635
161,1.0,sigmoid,11,4,0.8475177304964538,0.16477272727272727,0.2684659090909091,0.43323863636363635
298,5.0,linear,7,6,0.8120567375886525,0.15198863636363635,0.2819602272727273,0.43394886363636365
56,0.1,sigmoid,7,2,0.8085106382978723,0.2571022727272727,0.17755681818181818,0.4346590909090909
242,2.0,sigmoid,3,6,0.8687943262411347,0.16193181818181818,0.2727272727272727,0.4346590909090909
62,0.1,sigmoid,9,6,0.8404255319148937,0.14133522727272727,0.29332386363636365,0.43465909090909094
297,5.0,linear,7,4,0.8262411347517731,0.14701704545454544,0.28764204545454547,0.43465909090909094
51,0.1,sigmoid,3,8,0.8226950354609929,0.24573863636363635,0.18963068181818182,0.4353693181818182
49,0.1,sigmoid,3,4,0.7978723404255319,0.2393465909090909,0.19602272727272727,0.4353693181818182
28,0.1,rbf,5,2,0.8297872340425532,0.18678977272727273,0.24857954545454544,0.4353693181818182
151,1.0,sigmoid,5,8,0.8226950354609929,0.16335227272727273,0.2727272727272727,0.4360795454545454
310,5.0,linear,13,6,0.776595744680851,0.13920454545454544,0.296875,0.4360795454545454
149,1.0,sigmoid,5,4,0.8404255319148937,0.16193181818181818,0.27485795454545453,0.4367897727272727
251,2.0,sigmoid,7,8,0.8049645390070922,0.1640625,0.2727272727272727,0.4367897727272727
141,1.0,rbf,13,4,0.8794326241134752,0.0859375,0.3508522727272727,0.4367897727272727
30,0.1,rbf,5,6,0.8191489361702128,0.22088068181818182,0.21661931818181818,0.4375
194,2.0,linear,3,6,0.8120567375886525,0.14417613636363635,0.2940340909090909,0.43821022727272724
293,5.0,linear,5,4,0.8049645390070922,0.16832386363636365,0.26988636363636365,0.4382102272727273
26,0.1,rbf,3,6,0.8368794326241135,0.13920454545454544,0.30042613636363635,0.43963068181818177
107,1.0,linear,7,8,0.8085106382978723,0.1299715909090909,0.31107954545454547,0.44105113636363635
3,0.1,linear,3,8,0.8191489361702128,0.15767045454545456,0.2833806818181818,0.44105113636363635
250,2.0,sigmoid,7,6,0.8368794326241135,0.16335227272727273,0.2784090909090909,0.44176136363636365
246,2.0,sigmoid,5,6,0.8156028368794326,0.1640625,0.2784090909090909,0.4424715909090909
160,1.0,sigmoid,11,2,0.8687943262411347,0.13352272727272727,0.30894886363636365,0.44247159090909094
201,2.0,linear,7,4,0.7836879432624113,0.13707386363636365,0.3053977272727273,0.44247159090909094
204,2.0,linear,9,2,0.851063829787234,0.11434659090909091,0.3288352272727273,0.44318181818181823
254,2.0,sigmoid,9,6,0.8226950354609929,0.13991477272727273,0.30326704545454547,0.44318181818181823
25,0.1,rbf,3,4,0.8226950354609929,0.26136363636363635,0.1825284090909091,0.4438920454545454
17,0.1,linear,11,4,0.8546099290780141,0.1171875,0.3288352272727273,0.4460227272727273
262,2.0,sigmoid,13,6,0.8404255319148937,0.14417613636363635,0.3025568181818182,0.44673295454545453
109,1.0,linear,9,4,0.8723404255319149,0.11576704545454546,0.3309659090909091,0.4467329545454546
158,1.0,sigmoid,9,6,0.8439716312056738,0.14914772727272727,0.29829545454545453,0.44744318181818177
97,1.0,linear,3,4,0.8368794326241135,0.1512784090909091,0.2961647727272727,0.44744318181818177
16,0.1,linear,11,2,0.8475177304964538,0.11576704545454546,0.33167613636363635,0.4474431818181818
259,2.0,sigmoid,11,8,0.8581560283687943,0.13423295454545456,0.3132102272727273,0.4474431818181819
253,2.0,sigmoid,9,4,0.8368794326241135,0.1534090909090909,0.2947443181818182,0.44815340909090906
207,2.0,linear,9,8,0.7978723404255319,0.13494318181818182,0.3132102272727273,0.4481534090909091
12,0.1,linear,9,2,0.851063829787234,0.12855113636363635,0.3210227272727273,0.44957386363636365
99,1.0,linear,3,8,0.7978723404255319,0.14914772727272727,0.30113636363636365,0.45028409090909094
350,5.0,sigmoid,9,6,0.8120567375886525,0.18892045454545456,0.26136363636363635,0.45028409090909094
295,5.0,linear,5,8,0.7588652482269503,0.15269886363636365,0.29829545454545453,0.4509943181818182
118,1.0,linear,13,6,0.8085106382978723,0.11860795454545454,0.33238636363636365,0.4509943181818182
115,1.0,linear,11,8,0.8226950354609929,0.10511363636363637,0.3465909090909091,0.45170454545454547
20,0.1,linear,13,2,0.8581560283687943,0.11505681818181818,0.3366477272727273,0.45170454545454547
338,5.0,sigmoid,3,6,0.8156028368794326,0.1924715909090909,0.2599431818181818,0.4524147727272727
209,2.0,linear,11,4,0.8014184397163121,0.12286931818181818,0.32954545454545453,0.4524147727272727
301,5.0,linear,9,4,0.8262411347517731,0.11931818181818182,0.3330965909090909,0.4524147727272727
24,0.1,rbf,3,2,0.7624113475177305,0.29545454545454547,0.15767045454545456,0.453125
50,0.1,sigmoid,3,6,0.7907801418439716,0.2919034090909091,0.16193181818181818,0.4538352272727273
21,0.1,linear,13,4,0.8865248226950354,0.11434659090909091,0.33948863636363635,0.4538352272727273
205,2.0,linear,9,4,0.8226950354609929,0.1455965909090909,0.3096590909090909,0.45525568181818177
37,0.1,rbf,9,4,0.8333333333333334,0.2450284090909091,0.21022727272727273,0.4552556818181818
103,1.0,linear,5,8,0.8475177304964538,0.1512784090909091,0.3046875,0.45596590909090906
196,2.0,linear,5,2,0.8191489361702128,0.14985795454545456,0.3068181818181818,0.45667613636363635
247,2.0,sigmoid,5,8,0.8226950354609929,0.19105113636363635,0.265625,0.45667613636363635
213,2.0,linear,13,4,0.8014184397163121,0.12144886363636363,0.3352272727272727,0.45667613636363635
60,0.1,sigmoid,9,2,0.8723404255319149,0.18536931818181818,0.2713068181818182,0.45667613636363635
342,5.0,sigmoid,5,6,0.8333333333333334,0.21235795454545456,0.2450284090909091,0.45738636363636365
291,5.0,linear,3,8,0.7836879432624113,0.15411931818181818,0.3039772727272727,0.4580965909090909
63,0.1,sigmoid,9,8,0.8333333333333334,0.1924715909090909,0.265625,0.45809659090909094
165,1.0,sigmoid,13,4,0.8794326241134752,0.11505681818181818,0.34375,0.4588068181818182
42,0.1,rbf,11,6,0.8475177304964538,0.2265625,0.23224431818181818,0.4588068181818182
199,2.0,linear,5,8,0.7588652482269503,0.14275568181818182,0.31605113636363635,0.4588068181818182
36,0.1,rbf,9,2,0.8297872340425532,0.20738636363636365,0.2521306818181818,0.45951704545454547
340,5.0,sigmoid,5,2,0.8368794326241135,0.20383522727272727,0.25639204545454547,0.4602272727272727
302,5.0,linear,9,6,0.8014184397163121,0.14630681818181818,0.31392045454545453,0.4602272727272727
113,1.0,linear,11,4,0.8085106382978723,0.11079545454545454,0.3515625,0.46235795454545453
243,2.0,sigmoid,3,8,0.8439716312056738,0.1640625,0.29829545454545453,0.46235795454545453
356,5.0,sigmoid,13,2,0.8581560283687943,0.1512784090909091,0.3125,0.46377840909090906
299,5.0,linear,7,8,0.7872340425531915,0.13849431818181818,0.3259943181818182,0.46448863636363635
47,0.1,rbf,13,8,0.7872340425531915,0.33948863636363635,0.125,0.46448863636363635
252,2.0,sigmoid,9,2,0.8333333333333334,0.15269886363636365,0.3125,0.46519886363636365
263,2.0,sigmoid,13,8,0.8617021276595744,0.13920454545454544,0.3259943181818182,0.46519886363636365
108,1.0,linear,9,2,0.8226950354609929,0.12642045454545456,0.3387784090909091,0.46519886363636365
44,0.1,rbf,13,2,0.8546099290780141,0.19105113636363635,0.2741477272727273,0.46519886363636365
359,5.0,sigmoid,13,8,0.8404255319148937,0.14772727272727273,0.3174715909090909,0.46519886363636365
257,2.0,sigmoid,11,4,0.8971631205673759,0.1512784090909091,0.3146306818181818,0.46590909090909094
114,1.0,linear,11,6,0.7907801418439716,0.11221590909090909,0.3536931818181818,0.46590909090909094
311,5.0,linear,13,8,0.75177304964539,0.12642045454545456,0.3409090909090909,0.4673295454545454
303,5.0,linear,9,8,0.7836879432624113,0.13636363636363635,0.3309659090909091,0.46732954545454547
64,0.1,sigmoid,11,2,0.8900709219858156,0.15625,0.3117897727272727,0.4680397727272727
32,0.1,rbf,7,2,0.7836879432624113,0.3359375,0.13210227272727273,0.4680397727272727
71,0.1,sigmoid,13,8,0.875886524822695,0.1377840909090909,0.3309659090909091,0.46875
111,1.0,linear,9,8,0.8014184397163121,0.13707386363636365,0.3330965909090909,0.47017045454545453
34,0.1,rbf,7,6,0.7730496453900709,0.3210227272727273,0.14914772727272727,0.4701704545454546
116,1.0,linear,13,2,0.8439716312056738,0.09161931818181818,0.3799715909090909,0.47159090909090906
38,0.1,rbf,9,6,0.8226950354609929,0.1768465909090909,0.2947443181818182,0.47159090909090906
33,0.1,rbf,7,4,0.7943262411347518,0.27485795454545453,0.19744318181818182,0.47230113636363635
306,5.0,linear,11,6,0.7943262411347518,0.11647727272727272,0.35582386363636365,0.47230113636363635
210,2.0,linear,11,6,0.7907801418439716,0.13494318181818182,0.3380681818181818,0.47301136363636365
300,5.0,linear,9,2,0.8085106382978723,0.1278409090909091,0.34517045454545453,0.47301136363636365
117,1.0,linear,13,4,0.8226950354609929,0.09943181818181818,0.37357954545454547,0.47301136363636365
208,2.0,linear,11,2,0.8333333333333334,0.10440340909090909,0.3700284090909091,0.47443181818181823
241,2.0,sigmoid,3,4,0.7978723404255319,0.1924715909090909,0.28267045454545453,0.4751420454545454
248,2.0,sigmoid,7,2,0.8156028368794326,0.16477272727272727,0.3103693181818182,0.4751420454545454
349,5.0,sigmoid,9,4,0.7943262411347518,0.1875,0.28764204545454547,0.47514204545454547
305,5.0,linear,11,4,0.8226950354609929,0.11860795454545454,0.35795454545454547,0.4765625
337,5.0,sigmoid,3,4,0.8191489361702128,0.18821022727272727,0.2883522727272727,0.4765625
358,5.0,sigmoid,13,6,0.8687943262411347,0.15056818181818182,0.32670454545454547,0.4772727272727273
164,1.0,sigmoid,13,2,0.8794326241134752,0.12073863636363637,0.3572443181818182,0.47798295454545453
67,0.1,sigmoid,11,8,0.8297872340425532,0.14701704545454544,0.3309659090909091,0.4779829545454546
46,0.1,rbf,13,6,0.8333333333333334,0.17826704545454544,0.2997159090909091,0.4779829545454546
70,0.1,sigmoid,13,6,0.851063829787234,0.13849431818181818,0.34019886363636365,0.4786931818181818
41,0.1,rbf,11,4,0.851063829787234,0.14985795454545456,0.32954545454545453,0.47940340909090906
206,2.0,linear,9,6,0.7943262411347518,0.12713068181818182,0.3522727272727273,0.4794034090909091
351,5.0,sigmoid,9,8,0.8333333333333334,0.1640625,0.31605113636363635,0.48011363636363635
19,0.1,linear,11,8,0.851063829787234,0.10866477272727272,0.3721590909090909,0.4808238636363636
29,0.1,rbf,5,4,0.776595744680851,0.34019886363636365,0.14204545454545456,0.48224431818181823
341,5.0,sigmoid,5,4,0.8226950354609929,0.17258522727272727,0.3117897727272727,0.484375
23,0.1,linear,13,8,0.8368794326241135,0.1015625,0.3828125,0.484375
203,2.0,linear,7,8,0.7836879432624113,0.12855113636363635,0.3572443181818182,0.48579545454545453
354,5.0,sigmoid,11,6,0.8191489361702128,0.16761363636363635,0.31889204545454547,0.4865056818181818
215,2.0,linear,13,8,0.7624113475177305,0.11647727272727272,0.37073863636363635,0.48721590909090906
261,2.0,sigmoid,13,4,0.8404255319148937,0.13707386363636365,0.3522727272727273,0.48934659090909094
258,2.0,sigmoid,11,6,0.8297872340425532,0.14133522727272727,0.3487215909090909,0.4900568181818181
307,5.0,linear,11,8,0.8156028368794326,0.12002840909090909,0.3700284090909091,0.49005681818181823
353,5.0,sigmoid,11,4,0.8404255319148937,0.1484375,0.3430397727272727,0.4914772727272727
40,0.1,rbf,11,2,0.851063829787234,0.16832386363636365,0.3231534090909091,0.49147727272727276
357,5.0,sigmoid,13,4,0.8687943262411347,0.140625,0.3515625,0.4921875
348,5.0,sigmoid,9,2,0.8297872340425532,0.1747159090909091,0.3181818181818182,0.4928977272727273
345,5.0,sigmoid,7,4,0.8085106382978723,0.18394886363636365,0.30894886363636365,0.4928977272727273
352,5.0,sigmoid,11,2,0.851063829787234,0.15767045454545456,0.3359375,0.4936079545454546
308,5.0,linear,13,2,0.8439716312056738,0.10795454545454546,0.38636363636363635,0.4943181818181818
344,5.0,sigmoid,7,2,0.7943262411347518,0.20738636363636365,0.2890625,0.49644886363636365
39,0.1,rbf,9,8,0.7978723404255319,0.13920454545454544,0.3586647727272727,0.4978693181818181
309,5.0,linear,13,4,0.8014184397163121,0.08948863636363637,0.4083806818181818,0.4978693181818182
346,5.0,sigmoid,7,6,0.7659574468085106,0.20454545454545456,0.2940340909090909,0.4985795454545454
48,0.1,sigmoid,3,2,0.8226950354609929,0.3039772727272727,0.19886363636363635,0.5028409090909091
347,5.0,sigmoid,7,8,0.8085106382978723,0.1825284090909091,0.3203125,0.5028409090909091
69,0.1,sigmoid,13,4,0.8971631205673759,0.13636363636363635,0.3664772727272727,0.5028409090909091
343,5.0,sigmoid,5,8,0.8049645390070922,0.20738636363636365,0.29545454545454547,0.5028409090909092
211,2.0,linear,11,8,0.776595744680851,0.1328125,0.37144886363636365,0.5042613636363636
68,0.1,sigmoid,13,2,0.8829787234042553,0.13423295454545456,0.3700284090909091,0.5042613636363636
256,2.0,sigmoid,11,2,0.8794326241134752,0.14417613636363635,0.3600852272727273,0.5042613636363636
27,0.1,rbf,3,8,0.7659574468085106,0.34019886363636365,0.16761363636363635,0.5078125
339,5.0,sigmoid,3,8,0.7943262411347518,0.2059659090909091,0.3046875,0.5106534090909091
355,5.0,sigmoid,11,8,0.875886524822695,0.15056818181818182,0.3600852272727273,0.5106534090909092
214,2.0,linear,13,6,0.7730496453900709,0.10795454545454546,0.40767045454545453,0.515625
119,1.0,linear,13,8,0.7659574468085106,0.14488636363636365,0.3778409090909091,0.5227272727272727
260,2.0,sigmoid,13,2,0.8829787234042553,0.13636363636363635,0.38920454545454547,0.5255681818181819
336,5.0,sigmoid,3,2,0.8404255319148937,0.19744318181818182,0.3494318181818182,0.546875
72,0.1,poly,3,2,0.7127659574468085,0.5284090909090909,0.045454545454545456,0.5738636363636364
35,0.1,rbf,7,8,0.7872340425531915,0.0625,0.5774147727272727,0.6399147727272727
89,0.1,poly,11,4,0.5673758865248227,0.6867897727272727,0.02556818181818182,0.7123579545454545
90,0.1,poly,11,6,0.5673758865248227,0.7009943181818182,0.026278409090909092,0.7272727272727273
43,0.1,rbf,11,8,0.75177304964539,0.044744318181818184,0.6882102272727273,0.7329545454545455
45,0.1,rbf,13,4,0.8049645390070922,0.04261363636363636,0.7514204545454546,0.7940340909090909
31,0.1,rbf,5,8,0.6808510638297872,0.017045454545454544,0.8373579545454546,0.8544034090909092
88,0.1,poly,11,2,0.5319148936170213,0.9829545454545454,0.002130681818181818,0.9850852272727272
80,0.1,poly,7,2,0.5319148936170213,0.0,0.9900568181818182,0.9900568181818182
73,0.1,poly,3,4,0.48226950354609927,0.0,0.9985795454545454,0.9985795454545454
77,0.1,poly,5,4,0.5886524822695035,0.0,0.9985795454545454,0.9985795454545454
85,0.1,poly,9,4,0.5354609929078015,0.0,0.9992897727272727,0.9992897727272727
86,0.1,poly,9,6,0.5177304964539007,0.0,1.0,1.0
82,0.1,poly,7,6,0.5425531914893617,0.0,1.0,1.0
83,0.1,poly,7,8,0.475177304964539,0.0,1.0,1.0
84,0.1,poly,9,2,0.4432624113475177,0.0,1.0,1.0
95,0.1,poly,13,8,0.5141843971631206,0.0,1.0,1.0
75,0.1,poly,3,8,0.5141843971631206,0.0,1.0,1.0
93,0.1,poly,13,4,0.4645390070921986,0.0,1.0,1.0
81,0.1,poly,7,4,0.524822695035461,0.0,1.0,1.0
92,0.1,poly,13,2,0.524822695035461,0.0,1.0,1.0
79,0.1,poly,5,8,0.5,0.0,1.0,1.0
91,0.1,poly,11,8,0.45390070921985815,0.0,1.0,1.0
78,0.1,poly,5,6,0.4929078014184397,0.0,1.0,1.0
87,0.1,poly,9,8,0.49645390070921985,0.0,1.0,1.0
94,0.1,poly,13,6,0.5283687943262412,0.0,1.0,1.0
74,0.1,poly,3,6,0.5319148936170213,0.0,1.0,1.0
